#RPLIDAR SCAN DATA
#COUNT=404
#Angule	Distance	Quality
359.6539 74.0 188
0.3900 74.0 188
1.1041 74.0 188
1.8237 73.0 188
2.5433 74.0 188
3.2629 73.0 188
3.9825 74.0 188
4.7186 74.0 188
5.4327 74.0 188
6.1523 73.0 188
7.5916 67.0 188
8.3276 67.0 188
9.0417 68.0 188
10.4810 68.0 188
11.2006 69.0 188
11.9202 69.0 188
15.5127 166.0 188
16.9684 160.0 188
19.8413 145.0 188
24.1699 137.0 188
24.8895 137.0 188
27.0428 133.0 188
28.4821 127.0 188
29.2017 126.0 188
30.6519 116.0 188
31.3715 114.0 188
32.0911 112.0 188
32.8107 111.0 188
34.9640 111.0 188
35.6836 114.0 188
37.8589 97.0 188
38.5730 100.0 188
40.7483 105.0 188
43.6542 96.0 188
44.3738 97.0 188
45.0934 98.0 188
48.7134 751.0 188
49.4330 742.0 188
50.1691 739.0 188
50.8887 737.0 188
51.6083 735.0 188
52.3389 732.0 188
53.0585 731.0 188
53.7946 731.0 188
54.5142 727.0 188
55.2338 730.0 188
55.9644 734.0 188
56.6840 733.0 188
57.4036 730.0 188
58.1396 722.0 188
58.8593 710.0 188
59.5734 705.0 188
60.3094 703.0 188
61.0291 698.0 188
61.7487 693.0 188
62.4792 689.0 188
63.1989 687.0 188
63.9185 686.0 188
64.6545 685.0 188
65.3741 685.0 188
66.1047 687.0 188
66.8079 690.0 188
67.5275 685.0 188
68.2471 678.0 188
68.9502 675.0 188
69.6698 674.0 188
70.3894 672.0 188
71.1090 669.0 188
71.8121 670.0 188
72.5262 674.0 188
73.2458 677.0 188
73.9490 679.0 188
74.6686 686.0 188
75.3882 696.0 188
76.1078 712.0 188
76.8109 731.0 188
78.2446 1383.0 188
78.9642 1383.0 188
81.1066 591.0 188
81.8097 581.0 188
82.5293 576.0 188
83.2489 574.0 188
83.9685 572.0 188
84.6716 570.0 188
85.3857 569.0 188
86.1053 569.0 188
86.8250 569.0 188
87.5281 570.0 188
88.2477 575.0 188
88.9673 583.0 188
91.1041 444.0 188
91.8237 440.0 188
92.5269 437.0 188
93.2465 439.0 188
93.9661 442.0 188
94.6857 442.0 188
95.3888 442.0 188
96.1084 442.0 188
96.8115 445.0 188
97.5311 447.0 188
99.6515 569.0 188
100.3711 574.0 188
101.7938 605.0 188
102.4969 614.0 188
103.2166 614.0 188
104.6393 587.0 188
105.3424 587.0 188
106.0620 594.0 188
106.7651 599.0 188
107.4792 600.0 188
108.9020 579.0 188
109.6216 584.0 188
110.3247 593.0 188
111.0443 598.0 188
111.7474 598.0 188
112.4670 599.0 188
113.1702 605.0 188
116.7297 508.0 188
117.4329 496.0 188
118.1525 488.0 188
118.8556 481.0 188
119.5752 472.0 188
120.2783 465.0 188
120.9979 459.0 188
121.7010 455.0 188
122.4207 453.0 188
123.1403 453.0 188
123.8434 451.0 188
124.5575 450.0 188
125.2771 449.0 188
125.9967 451.0 188
126.7163 454.0 188
127.4359 456.0 188
128.1555 459.0 188
128.8696 466.0 188
129.5892 475.0 188
131.0120 2165.0 188
131.7316 2196.0 188
132.4512 2230.0 188
133.1708 2266.0 188
133.8904 2301.0 188
134.6045 2340.0 188
135.3241 2383.0 188
136.0437 2426.0 188
136.7633 2470.0 188
137.4664 2516.0 188
138.1860 2563.0 188
138.9056 2614.0 188
139.6198 2668.0 188
140.3394 2725.0 188
141.0590 2784.0 188
141.7786 2845.0 188
142.4982 2911.0 188
143.2178 2980.0 188
143.9374 3054.0 188
144.6405 3131.0 188
145.3546 3185.0 188
146.0742 3186.0 188
146.7938 3163.0 188
147.5134 3144.0 188
148.2330 3129.0 188
148.9526 3113.0 188
149.6667 3098.0 188
150.3864 3084.0 188
151.1060 3069.0 188
151.8256 3055.0 188
152.5287 3043.0 188
153.2318 3030.0 188
153.9514 3019.0 188
154.6545 3009.0 188
156.7804 91.0 188
157.4835 92.0 188
158.2031 93.0 188
158.9062 92.0 188
159.6094 92.0 188
160.3235 92.0 188
161.0266 93.0 188
161.7297 94.0 188
162.4493 94.0 188
163.1525 94.0 188
163.8556 94.0 188
164.5752 95.0 188
165.2783 95.0 188
165.9814 95.0 188
166.7010 95.0 188
167.4042 94.0 188
168.1238 94.0 188
168.8269 94.0 188
169.5300 94.0 188
170.2496 93.0 188
170.9528 93.0 188
171.6559 94.0 188
172.3700 93.0 188
173.0731 93.0 188
173.7762 94.0 188
174.4958 95.0 188
175.1990 95.0 188
175.9021 94.0 188
176.6217 94.0 188
177.3248 95.0 188
178.0280 94.0 188
178.7476 95.0 188
179.4507 95.0 188
180.1703 94.0 188
180.8734 94.0 188
181.5930 94.0 188
182.3071 95.0 188
183.0267 95.0 188
183.7463 95.0 188
184.4659 95.0 188
185.1855 96.0 188
185.9052 96.0 188
186.6248 96.0 188
187.3279 97.0 188
188.0420 96.0 188
188.7616 96.0 188
189.4812 97.0 188
190.2008 97.0 188
190.9204 97.0 188
191.6400 97.0 188
192.3541 98.0 188
193.0737 99.0 188
193.7933 99.0 188
194.4965 100.0 188
195.2161 99.0 188
196.6553 101.0 188
197.3749 101.0 188
199.5282 90.0 188
202.3901 3357.0 188
203.1042 3384.0 188
203.8239 3411.0 188
204.5435 3439.0 188
205.2631 3467.0 188
205.9827 3496.0 188
206.7023 3529.0 188
207.4219 3562.0 188
208.1360 3594.0 188
208.8556 3628.0 188
209.5587 3661.0 188
210.2618 3697.0 188
210.9650 3739.0 188
211.6846 3778.0 188
212.3877 3814.0 188
213.0908 3854.0 188
213.8104 3898.0 188
214.5135 3944.0 188
215.2167 3993.0 188
215.9198 4040.0 188
216.6394 4094.0 188
217.3425 4149.0 188
218.0457 4204.0 188
218.7653 4262.0 188
219.4684 4319.0 188
220.1715 4377.0 188
220.8856 4441.0 188
221.5887 4508.0 188
222.2919 4576.0 188
222.9950 4651.0 188
223.7146 4726.0 188
224.4177 4803.0 188
225.1208 4887.0 188
225.8405 4971.0 188
226.5436 5057.0 188
227.2467 5153.0 188
227.9663 5257.0 188
228.6694 5355.0 188
230.0757 2706.0 188
230.7953 2694.0 188
231.4984 2714.0 188
232.2015 2758.0 188
233.6243 3016.0 188
235.0415 6049.0 188
236.4478 4712.0 188
237.1674 4690.0 188
237.8705 4647.0 188
238.5736 4618.0 188
239.2767 4608.0 188
239.9963 4582.0 188
240.6995 4556.0 188
241.4026 4532.0 188
242.1057 4509.0 188
242.8253 4487.0 188
246.3574 4821.0 188
247.7637 5546.0 188
249.1864 4400.0 188
249.8895 4420.0 188
250.5927 4421.0 188
252.0154 3748.0 188
252.7185 3761.0 188
254.1357 3954.0 188
254.8389 3958.0 188
255.5420 3959.0 188
259.0741 3666.0 188
260.4968 5390.0 188
261.2000 5388.0 188
261.9031 5390.0 188
262.6227 5393.0 188
263.3258 5396.0 188
267.5610 18.0 188
268.2806 18.0 188
273.2300 4547.0 188
273.9331 4576.0 188
274.6527 4628.0 188
275.3558 4666.0 188
276.0590 4692.0 188
276.7786 4709.0 188
278.1848 5652.0 188
278.9044 5679.0 188
279.6075 5703.0 188
280.3107 5727.0 188
281.0303 5742.0 188
281.7334 5756.0 188
282.4365 5784.0 188
283.1561 5814.0 188
285.2765 4127.0 188
285.9796 4147.0 188
286.6827 4158.0 188
287.4023 4170.0 188
288.1055 4183.0 188
288.8086 4195.0 188
290.2313 6166.0 188
290.9344 6208.0 188
291.6376 6254.0 188
292.3572 6300.0 188
293.0603 6344.0 188
293.7799 6391.0 188
294.4830 6443.0 188
295.1862 6497.0 188
295.8893 6556.0 188
296.5924 6610.0 188
301.5308 7092.0 188
302.2339 7167.0 188
302.9370 7243.0 188
303.6401 7319.0 188
304.3433 7404.0 188
305.0464 7496.0 188
305.7495 7588.0 188
306.4526 7679.0 188
307.1558 7699.0 188
307.8589 7624.0 188
308.5730 7527.0 188
309.2761 7440.0 188
309.9792 7359.0 188
310.6824 7281.0 188
311.3855 7207.0 188
312.0886 7133.0 188
312.7917 7062.0 188
313.4949 6995.0 188
314.1980 6933.0 188
314.9011 6869.0 188
315.6207 6806.0 188
316.3239 6751.0 188
317.0270 6692.0 188
317.7301 6635.0 188
319.8395 76.0 188
320.5426 78.0 188
321.2457 80.0 188
321.9653 80.0 188
322.6685 81.0 188
323.3716 81.0 188
324.0747 81.0 188
324.7778 82.0 188
325.4810 82.0 188
326.2006 81.0 188
326.9037 79.0 188
327.6068 78.0 188
328.3099 79.0 188
329.0131 78.0 188
329.7162 77.0 188
330.4358 77.0 188
331.1389 77.0 188
331.8420 76.0 188
332.5452 74.0 188
333.2483 72.0 188
334.6710 76.0 188
336.0773 74.0 188
336.7804 73.0 188
337.4835 73.0 188
339.6094 73.0 188
340.3125 73.0 188
341.0156 74.0 188
341.7188 75.0 188
342.4329 75.0 188
343.1360 75.0 188
343.8391 73.0 188
344.5422 72.0 188
345.2454 73.0 188
345.9485 74.0 188
346.6681 74.0 188
347.3712 74.0 188
348.0743 75.0 188
348.7775 75.0 188
349.4806 74.0 188
350.2002 73.0 188
350.9033 73.0 188
351.6064 74.0 188
352.3096 75.0 188
353.0127 75.0 188
353.7323 75.0 188
354.4354 75.0 188
355.1385 75.0 188
355.8417 76.0 188
356.5613 75.0 188
357.2644 75.0 188
