#RPLIDAR SCAN DATA
#COUNT=432
#Angule	Distance	Quality
359.7968 1247.0 188
0.5109 1246.0 188
1.2140 1245.0 188
1.9336 1244.0 188
2.6532 1244.0 188
3.3728 1245.0 188
4.0759 1246.0 188
4.7955 1248.0 188
5.5151 1250.0 188
6.2292 1251.0 188
6.9324 1253.0 188
7.6520 1255.0 188
8.3716 1256.0 188
9.0747 1259.0 188
9.7943 1264.0 188
10.5139 1266.0 188
11.2335 1268.0 188
11.9366 1271.0 188
12.6562 1274.0 188
13.3704 1277.0 188
14.0900 1282.0 188
14.7931 1286.0 188
15.4962 1289.0 188
16.1993 1293.0 188
16.9189 1298.0 188
17.6221 1303.0 188
18.3252 1308.0 188
19.0283 1313.0 188
19.7479 1316.0 188
20.4510 1321.0 188
21.1542 1327.0 188
21.8573 1333.0 188
22.5769 1340.0 188
23.2800 1346.0 188
23.9832 1352.0 188
24.6863 1360.0 188
25.4059 1369.0 188
26.1090 1376.0 188
26.8121 1384.0 188
27.5153 1393.0 188
28.2294 1402.0 188
28.9325 1412.0 188
29.6356 1421.0 188
30.3387 1430.0 188
31.0583 1442.0 188
31.7615 1452.0 188
32.4646 1462.0 188
33.1677 1474.0 188
33.8873 1485.0 188
34.5905 1497.0 188
35.2936 1509.0 188
35.9967 1524.0 188
36.7163 1540.0 188
37.4194 1552.0 188
38.1226 1566.0 188
38.8257 1580.0 188
39.5453 1593.0 188
40.2484 1589.0 188
40.9515 1563.0 188
41.6547 1535.0 188
42.3743 1513.0 188
43.0774 1492.0 188
43.7915 1471.0 188
44.5111 1453.0 188
45.2307 1434.0 188
45.9503 1416.0 188
46.6699 1397.0 188
47.3895 1379.0 188
48.1091 1364.0 188
48.8232 1349.0 188
49.5428 1335.0 188
50.2625 1320.0 188
50.9821 1305.0 188
51.7017 1291.0 188
52.4213 1277.0 188
53.1354 1265.0 188
53.8550 1252.0 188
54.5746 1239.0 188
55.2942 1228.0 188
56.0138 1217.0 188
56.7169 1206.0 188
57.4365 1196.0 188
58.1561 1186.0 188
58.8702 1177.0 188
59.5898 1168.0 188
60.3094 1158.0 188
61.0291 1149.0 188
61.7487 1140.0 188
62.4683 1132.0 188
63.1824 1125.0 188
63.9020 1116.0 188
64.6216 1108.0 188
65.3412 1101.0 188
66.0608 1094.0 188
66.7804 1088.0 188
67.5000 1082.0 188
68.2141 1074.0 188
68.9337 1067.0 188
69.6533 1062.0 188
70.3729 1057.0 188
71.0925 1051.0 188
71.7957 1046.0 188
72.4988 1040.0 188
73.2019 1036.0 188
73.9215 1031.0 188
74.6246 1027.0 188
75.3278 1023.0 188
76.0419 1019.0 188
76.7450 1015.0 188
77.4481 1012.0 188
78.1512 1007.0 188
78.8708 1004.0 188
79.5740 1003.0 188
80.2771 1000.0 188
80.9967 997.0 188
81.6998 996.0 188
82.4030 994.0 188
83.1226 993.0 188
83.8257 990.0 188
84.5288 988.0 188
85.2319 987.0 188
85.9515 986.0 188
86.6547 985.0 188
87.3578 983.0 188
88.0774 983.0 188
88.7805 983.0 188
89.4836 982.0 188
90.1978 982.0 188
90.9009 982.0 188
91.6040 982.0 188
92.3071 982.0 188
93.0267 982.0 188
93.7299 983.0 188
94.4330 984.0 188
95.1526 985.0 188
95.8557 987.0 188
96.5588 989.0 188
97.2784 991.0 188
97.9816 992.0 188
98.6847 993.0 188
99.4043 995.0 188
100.1074 997.0 188
100.8105 999.0 188
101.5137 1002.0 188
102.2168 1006.0 188
102.9199 1009.0 188
103.6395 1012.0 188
104.3427 1017.0 188
105.0458 1019.0 188
105.7489 1022.0 188
106.4520 1026.0 188
107.1716 1030.0 188
107.8748 1036.0 188
108.5779 1039.0 188
109.2810 1044.0 188
109.9841 1049.0 188
110.6982 1053.0 188
111.4014 1059.0 188
112.1045 1064.0 188
112.8076 1069.0 188
113.5107 1073.0 188
114.2303 1078.0 188
114.9335 1085.0 188
115.6366 1091.0 188
116.3397 1098.0 188
117.0428 1104.0 188
117.7625 1111.0 188
118.4656 1118.0 188
119.1687 1125.0 188
119.8718 1133.0 188
120.5750 1141.0 188
121.2946 1150.0 188
121.9977 1160.0 188
122.7008 1168.0 188
123.4039 1177.0 188
124.1071 1187.0 188
124.8267 1196.0 188
125.5298 1206.0 188
126.2329 1217.0 188
126.9360 1227.0 188
127.6556 1235.0 188
128.3588 1245.0 188
129.0729 1259.0 188
129.7925 1273.0 188
130.4956 1289.0 188
131.2152 1303.0 188
131.9348 1315.0 188
132.6544 1331.0 188
133.3575 1346.0 188
134.0771 1360.0 188
134.7968 1377.0 188
135.4999 1395.0 188
136.2140 1413.0 188
136.9336 1430.0 188
137.6532 1448.0 188
138.3563 1468.0 188
139.0759 1488.0 188
139.7955 1508.0 188
140.5151 1530.0 188
141.2183 1555.0 188
141.9324 1579.0 188
142.6520 1603.0 188
143.3551 1629.0 188
144.0747 1657.0 188
144.7943 1685.0 188
145.5139 1716.0 188
146.2170 1746.0 188
146.9366 1779.0 188
147.6562 1811.0 188
148.3704 1844.0 188
149.0735 1881.0 188
149.7931 1921.0 188
150.5127 1963.0 188
151.2158 2004.0 188
151.9354 2047.0 188
152.6550 2095.0 188
153.3746 2145.0 188
154.0778 2201.0 188
154.7919 2264.0 188
155.5115 2320.0 188
156.2311 2381.0 188
156.9342 2448.0 188
157.6373 2511.0 188
158.3405 2581.0 188
159.0601 2659.0 188
160.4663 2825.0 188
171.0736 5635.0 188
171.7932 5631.0 188
172.4963 5617.0 188
174.6222 5588.0 188
175.3253 5581.0 188
176.0284 5574.0 188
176.7316 5569.0 188
177.4512 5564.0 188
179.5770 5556.0 188
180.9833 4690.0 188
181.6864 4688.0 188
182.4060 4687.0 188
183.1091 4688.0 188
183.8123 4689.0 188
184.5264 4689.0 188
185.2295 4689.0 188
185.9491 4691.0 188
186.6687 4691.0 188
187.3883 4693.0 188
188.1079 4702.0 188
188.8110 4716.0 188
189.5306 4679.0 188
