#RPLIDAR SCAN DATA
#COUNT=433
#Angule	Distance	Quality
359.3079 567.0 188
0.0110 567.0 188
0.7141 567.0 188
1.4172 568.0 188
2.1204 570.0 188
2.8235 569.0 188
3.5266 570.0 188
4.2297 571.0 188
4.9329 571.0 188
5.6360 572.0 188
6.3391 573.0 188
7.0422 574.0 188
7.7454 577.0 188
8.4650 579.0 188
9.1681 579.0 188
9.8712 581.0 188
10.5743 583.0 188
11.2775 584.0 188
11.9971 586.0 188
12.7002 588.0 188
13.4033 589.0 188
14.1064 591.0 188
14.8260 594.0 188
15.5292 597.0 188
16.2323 599.0 188
16.9354 602.0 188
17.6385 603.0 188
18.3582 605.0 188
19.0613 609.0 188
19.7644 612.0 188
20.4675 615.0 188
21.1871 618.0 188
21.8903 622.0 188
22.5934 626.0 188
23.2965 630.0 188
23.9996 632.0 188
24.7137 637.0 188
25.4169 643.0 188
26.1200 646.0 188
26.8231 650.0 188
27.5427 655.0 188
28.2458 659.0 188
28.9490 664.0 188
29.6521 670.0 188
30.3552 675.0 188
31.0748 680.0 188
31.7780 687.0 188
32.4811 692.0 188
33.1842 697.0 188
33.9038 704.0 188
34.6069 712.0 188
35.3101 719.0 188
36.0132 725.0 188
36.7328 733.0 188
37.4359 741.0 188
38.1555 750.0 188
38.8586 759.0 188
39.5728 766.0 188
40.2759 774.0 188
40.9955 784.0 188
41.7151 794.0 188
42.4182 802.0 188
43.1378 812.0 188
43.8409 823.0 188
44.5605 834.0 188
45.2637 846.0 188
45.9833 857.0 188
46.7029 868.0 188
47.4060 881.0 188
48.1201 895.0 188
48.8232 906.0 188
49.5428 922.0 188
50.2460 936.0 188
50.9656 948.0 188
51.6852 965.0 188
52.3883 982.0 188
53.1079 1000.0 188
53.8110 1020.0 188
54.5306 1038.0 188
55.2338 1058.0 188
55.9479 1080.0 188
56.6675 1103.0 188
57.3706 1129.0 188
58.0902 1153.0 188
58.7933 1176.0 188
59.5129 1201.0 188
60.2161 1228.0 188
60.9357 1257.0 188
61.6553 1286.0 188
62.3584 1318.0 188
63.0780 1352.0 188
63.7811 1388.0 188
64.4952 1428.0 188
65.2148 1467.0 188
65.9180 1501.0 188
66.6211 1510.0 188
67.3242 1500.0 188
68.0273 1490.0 188
68.7305 1483.0 188
69.4336 1476.0 188
70.1367 1470.0 188
70.8398 1466.0 188
71.5430 1461.0 188
72.2461 1455.0 188
72.9492 1449.0 188
73.6523 1444.0 188
74.3555 1439.0 188
75.0586 1435.0 188
75.7617 1431.0 188
76.4648 1426.0 188
77.1680 1421.0 188
77.8711 1419.0 188
78.5742 1417.0 188
79.2773 1414.0 188
79.9805 1411.0 188
80.6836 1409.0 188
81.3867 1408.0 188
82.0898 1406.0 188
82.7930 1403.0 188
83.4961 1400.0 188
84.1992 1397.0 188
84.9023 1395.0 188
85.6055 1394.0 188
86.3086 1394.0 188
87.0117 1393.0 188
87.7148 1392.0 188
88.4180 1391.0 188
89.1211 1392.0 188
89.8242 1393.0 188
90.5273 1393.0 188
91.2305 1394.0 188
91.9336 1394.0 188
92.6367 1396.0 188
93.3398 1398.0 188
94.0265 1400.0 188
94.7296 1402.0 188
95.4327 1403.0 188
96.1359 1405.0 188
96.8390 1407.0 188
97.5421 1409.0 188
98.2452 1411.0 188
98.9484 1414.0 188
99.6515 1418.0 188
100.3546 1422.0 188
101.0577 1425.0 188
101.7609 1430.0 188
102.4640 1435.0 188
103.1671 1440.0 188
103.8702 1444.0 188
104.5734 1447.0 188
105.2765 1452.0 188
105.9796 1460.0 188
106.6827 1467.0 188
107.3749 1474.0 188
108.0780 1482.0 188
108.7811 1489.0 188
109.4843 1495.0 188
110.1874 1503.0 188
110.8905 1512.0 188
111.5936 1520.0 188
112.2968 1528.0 188
112.9999 1536.0 188
113.7030 1545.0 188
114.4061 1555.0 188
115.1093 1567.0 188
115.8124 1576.0 188
116.5155 1585.0 188
117.2186 1596.0 188
117.9218 1608.0 188
118.6249 1619.0 188
119.3280 1631.0 188
120.0311 1643.0 188
120.7343 1657.0 188
121.4374 1673.0 188
122.1405 1687.0 188
122.8436 1701.0 188
123.5468 1715.0 188
124.2609 1732.0 188
124.9640 1749.0 188
125.6671 1765.0 188
126.3867 1782.0 188
127.0898 1800.0 188
127.7930 1818.0 188
128.5126 1837.0 188
129.2157 1856.0 188
129.9188 1877.0 188
130.6384 1900.0 188
131.3416 1922.0 188
132.0447 1943.0 188
132.7643 1966.0 188
133.4674 1993.0 188
134.1705 2017.0 188
134.8901 2042.0 188
135.5933 2071.0 188
136.2964 2098.0 188
137.0105 2129.0 188
137.7136 2159.0 188
138.4167 2191.0 188
139.1364 2226.0 188
139.8395 2263.0 188
140.5426 2297.0 188
141.2622 2331.0 188
141.9653 2369.0 188
142.6685 2406.0 188
143.3881 2450.0 188
144.0912 2498.0 188
144.7943 2543.0 188
145.5139 2592.0 188
146.2170 2645.0 188
146.9202 2698.0 188
147.6233 2753.0 188
148.3429 2808.0 188
149.0460 2869.0 188
149.7656 2932.0 188
150.4523 3003.0 188
151.1554 3080.0 188
151.8585 3163.0 188
152.5616 3247.0 188
153.2648 3327.0 188
153.9679 3411.0 188
154.6545 3499.0 188
155.3577 3594.0 188
156.0608 3700.0 188
158.1702 4092.0 188
165.8716 6393.0 188
166.5747 6385.0 188
167.2778 6369.0 188
169.3707 6324.0 188
170.0739 6314.0 188
170.7770 6301.0 188
171.4801 6289.0 188
172.1832 6282.0 188
174.2761 5392.0 188
174.9792 5388.0 188
175.6824 5383.0 188
176.3855 5379.0 188
177.0886 5374.0 188
177.7917 5370.0 188
178.4949 5366.0 188
179.1980 5366.0 188
179.9176 5367.0 188
